"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"ADOÇANTE LÍQUIDO SUCRALOSE UNIÃO 65ML",101,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/4e1f5bc8-b7f0-43a5-881a-8b05459384d7.jpg",9.69,4,"1654630827.122784"
"AÇÚCAR CRISTAL ORGÂNICO UNIÃO 1KG",102,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/57c9aec9-2709-4726-92a9-7a02da89c5db.jpg",6.99,9,"1654630830.218351"
"AÇÚCAR DEMERARA NATURALE UNIÃO 1KG",103,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/4afa24c2-b9e4-4074-aeb0-e4643b35be8c.jpg",6.99,15,"1654630833.250262"
"AÇÚCAR REFINADO GRANULADO EM CUBOS PREMIUM UNIÃO 250G",104,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/493cf70f-4e5f-47c1-a131-4704a140cf53.jpg",9.49,19,"1654630836.59177"
"AÇÚCAR REFINADO GRANULADO PREMIUM UNIÃO 1KG",105,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/d445a555-bfc3-45e0-b5e4-b4acd0c4aba4.jpg",6.99,0,"1654630839.680332"
"AÇÚCAR UNIÃO MASCAVO 1KG",106,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/285bae54-f611-4689-89e6-c642c05dc0f7.jpg",18.99,0,"1654630846.913023"
"AÇÚCAR REFINADO FIT UNIÃO 500G",107,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/7ca05ef6-23cf-409c-8128-5843a4398210.jpg",4.69,2,"1654630852.061359"
"AÇÚCAR REFINADO UNIÃO 1KG",108,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/aafa7ccf-1929-48a1-810e-444e1a87faf9.jpg",4.79,5,"1654630855.494124"
"AÇÚCAR CRISTAL UNIÃO 1KG",109,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/277d5e7e-8dd4-4ebf-ae7f-df1736c0ddec.jpg",5.49,0,"1654630858.755623"
"AÇÚCAR DE CONFEITEIRO GLAÇÚCAR UNIÃO 500G",110,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/36e32f39-48ae-497c-829c-4618965c06cb.jpg",3.59,6,"1654630863.876873"
"AÇÚCAR UNIÃO SACHÊ DE 5G C/ 40UN",111,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/52e1380c-c2c1-4dfd-b84b-b63180fafa00.jpg",4.49,15,"1654630867.172945"
"AÇÚCAR REFINADO CARAVELAS 1KG",112,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/produtos_1442623025_RB5SbJz3Z1pOgZPAVU4Um08feRL5LK.jpg",4.49,0,"1654630870.181949"
"AÇÚCAR GUARANI REFINADO 1KG",113,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/produtos_1467654689_76w4o0uV4U8vVyfJyJ6AqlMAj857qz.png",4.29,6,"1654630875.526435"
"AÇÚCAR MASCAVO MAIS VITA 1KG",114,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/31.jpg",24.99,15,"1654630878.601033"
"ADOÇANTE EM PÓ ZERO-CAL SUCRALOSE 40G C/ 50UN",115,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/produtos_1438723782_KAa1iwU1T4ZU6Fe14hj0e4oAO3VjLg.jpg",8.99,2,"1654630881.744652"
"ADOÇANTE SACARINA LÍQUIDO ZERO-CAL 100ML",116,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ZEROCAL_SACARINA_485.jpg",5.99,16,"1654630884.845185"
"ADOÇANTE DIETÉTICO LÍQUIDO FIT STEVITA DE SUCRALOSE E STEVIA 65ML",117,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/steviazerofitnessvegan65ml53468.jpg",13.49,0,"1654630887.96503"
"ADOÇANTE DIETÉTICO LÍQUIDO ORGÂNICO STEVITA DE STEVIA 30ML",118,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/stevitaorganicoadocante30ml5465.jpg",12.49,0,"1654630895.107318"
"ADOÇANTE DIETÉTICO LÍQUIDO STEVITA DE STEVIA 30ML",119,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/stevialiquidostevita30ml4568.jpg",11.49,0,"1654630902.312615"
"ADOÇANTE DIETÉTICO LÍQUIDO STEVITA DE STEVIA 80ML",120,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/STEVITA80MLADOCANTE354643.jpg",16.49,0,"1654630909.423986"
"ADOÇANTE DIETÉTICO ORGÂNICO STEVITA DE STEVIA C/ 50UN",121,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/stevitaorganicoadocante50env546.jpg",15.49,0,"1654630916.526193"
"ADOÇANTE DIETÉTICO STEVITA DE STEVIA C/ 50UN",122,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/stevita50envadocante54156.jpg",11.49,0,"1654630923.790208"
"ADOÇANTE LÍQUIDO ZERO-CAL SUCRALOSE 100ML",123,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/FH.jpg",10.79,19,"1654630931.008055"
"AÇÚCAR CRISTAL ORGÂNICO NATIVE 1KG",124,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ebd33f4b-6d58-4240-ab4f-65951af185c4.jpg",6.59,5,"1654630934.285317"
"AÇÚCAR CRISTAL ORGÂNICO NATIVE SACHÊ 250G",125,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/644ea8eb-6030-4a5d-bbdf-9a78d51d2f09.jpg",6.79,6,"1654630937.506524"
"AÇÚCAR DEMERARA ORGÂNICO NATIVE 1KG",126,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/4b85186d-94da-40fb-9ae5-810430f55a97.jpg",7.19,0,"1654630940.494733"
"AÇÚCAR MASCAVO ORGÂNICO JASMINE 500G",127,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/acucarmascavo330.jpg",13.99,12,"1654630945.835984"
"ADOÇANTE EM PÓ LINEA SUCRALOSE 40G C/ 50UN",128,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/6df19203-399c-481b-bcd4-c675d4d2a114.png",10.49,17,"1654630948.895097"
"AÇÚCAR MASCAVO VITAO 500G",129,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/aucar.jpg",11.99,38,"1654630952.12771"
"AÇÚCAR MASCAVO ORGÂNICO VITALIN 500G",130,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ACUCAR_ORGANICO_MASCAVO_VITALIN_500G_32365845_1fiwp2x.png",13.99,15,"1654630953.18348"
"AÇÚCAR DE COCO COPRA 100G",131,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/acucar-de-coco-100g-copra-coco.jpg",9.49,0,"1654630956.211368"
