"nome","sku","departamento","categoria","concorrencia","valor_concorrencia","img","valor","desconto","dt_hora"
"ATUM RALADO GOMES DA COSTA NATURAL 170G",527,"Conservas e Enlatados","alimentos","sonda",748,"https://d2om08pcbtz1n1.cloudfront.net/a58341d1-3323-44f6-b872-4e170c036fea.jpg",6.59,11,"1654633093.533783"
"KETCHUP HEINZ 567G",968,"Molhos Diversos","alimentos","pa",1679,"https://d2om08pcbtz1n1.cloudfront.net/545704.jpg",15.49,13,"1654635524.849568"
"ESSÊNCIA DE BAUNILHA DR.OETKER 30ML",686,"Ingredientes Culinários","alimentos","pa",1429,"https://d2om08pcbtz1n1.cloudfront.net/baunilhadroetkeraroma30ml887.jpg",8.49,31,"1654633996.049804"
"MACARRÃO INSTANTÂNEO NISSIN LAMÉN CARNE 85G",895,"Massas e Molhos de Tomate","alimentos","sonda",263,"https://d2om08pcbtz1n1.cloudfront.net/1f94e118-ce03-4cfa-a56c-99534d531175.png",1.99,4,"1654635061.384552"
"AMIDO DE MILHO MAIZENA 200G",631,"Farinhas e Farofas","alimentos","sonda",604,"https://d2om08pcbtz1n1.cloudfront.net/MAIZENADOISKG236.jpg",5.79,4,"1654633633.120089"
"LEITE CONDENSADO SEMIDESNATADO PIRACANJUBA 395G",671,"Ingredientes Culinários","alimentos","pa",649,"https://d2om08pcbtz1n1.cloudfront.net/Piracanjuba_2177.jpg",6.29,2,"1654633943.153953"
"MACARRAO DE ARROZ PENNE URBANO TRADICIONAL 500G",923,"Massas e Molhos de Tomate","alimentos","sonda",399,"https://d2om08pcbtz1n1.cloudfront.net/62e8c6af-444b-4d8e-a3ca-92e6fcb8a205.jpg",4.29,0,"1654635191.515784"
"COCO EM FLOCOS FLOCOCO SOCÔCO 100G",705,"Ingredientes Culinários","alimentos","extra",949,"https://d2om08pcbtz1n1.cloudfront.net/flococosococo0932.jpg",6.49,29,"1654634060.536753"
"PATÊ DE ATUM GOMES DA COSTA COM AZEITONAS 150G",935,"Molhos Diversos","alimentos","pa",1229,"https://d2om08pcbtz1n1.cloudfront.net/27814081-777f-4410-923a-ba12a2824a84.jpg",10.29,13,"1654635324.011022"
"SARDINHA GOMES DA COSTA COM MOLHO DE TOMATE 125G",555,"Conservas e Enlatados","alimentos","pa",669,"https://d2om08pcbtz1n1.cloudfront.net/fe7d132e-99e5-4ae9-bf1a-0df884df69ac.jpg",5.49,12,"1654633231.026242"
"ATUM SÓLIDO COQUEIRO AO NATURAL 170G",531,"Conservas e Enlatados","alimentos","extra",1029,"https://d2om08pcbtz1n1.cloudfront.net/cbe66649-25e7-4406-abc4-5ec020710ce5.jpg",9.99,8,"1654633110.596508"
"AVEIA EM FLOCOS FINOS QUAKER ORGÂNICA 170G",300,"Café da Manhã","alimentos","sonda",963,"https://d2om08pcbtz1n1.cloudfront.net/cc9fd0f9-5d37-410d-b2bc-ead3a831e458.jpg",7.49,22,"1654631848.903226"
"FEIJÃO BRANCO BROTO LEGAL 500G",256,"Arroz, Feijão e Grãos","alimentos","sonda",989,"https://d2om08pcbtz1n1.cloudfront.net/00dc5cc7-87c9-42be-b196-cdba31a64525.jpg",8.99,9,"1654631545.395011"
